Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /terms/[key],33,33,9,10.090103454544204,5.037749999999619,35.316582999996626,27.0,0.1102154532289041,0.1102154532289041,9,10,10,11,13,21,35,35,35,35,35
GET,GET /,814,0,5,5.6351850995079396,1.4320829999974194,44.891249999977845,97.0,2.7186478463129675,0.0,5,6,6,7,8,10,16,24,45,45,45
GET,GET /terms/?skip=0&limit=10,40,0,9,9.730473049998789,4.861125000005018,23.524459000000775,1595.0,0.133594488762308,0.0,9,10,11,11,15,20,24,24,24,24,24
GET,GET /terms/?skip=0&limit=100,32,0,11,11.715430937498411,4.463458000003584,30.511291999999912,14652.4375,0.1068755910098464,0.0,11,12,13,14,16,16,31,31,31,31,31
GET,GET /terms/?skip=0&limit=20,43,0,9,11.17402325581163,1.848457999983566,48.843250000004446,3323.0,0.1436140754194811,0.0,9,10,12,12,22,29,49,49,49,49,49
GET,GET /terms/?skip=0&limit=5,54,0,9,9.091156666667526,3.698167000010244,20.809291999995594,795.0,0.1803525598291158,0.0,9,10,10,12,13,15,19,21,21,21,21
GET,GET /terms/?skip=0&limit=50,46,0,10,10.278211999998879,3.955416999986028,19.4262500000022,8079.586956521739,0.1536336620766542,0.0,10,11,12,12,14,16,19,19,19,19,19
GET,GET /terms/?skip=10&limit=10,43,0,9,9.672996069765254,3.574458000002778,30.73329200000785,1729.0,0.1436140754194811,0.0,9,10,10,11,14,20,31,31,31,31,31
GET,GET /terms/?skip=10&limit=100,48,0,11,13.114203999999111,6.544957999977896,47.54854200000125,16121.041666666666,0.1603133865147696,0.0,11,12,14,16,21,27,48,48,48,48,48
GET,GET /terms/?skip=10&limit=20,49,0,9,9.116621734695968,2.055708999989747,31.858749999997826,3379.0,0.1636532487338273,0.0,9,9,9,10,13,15,32,32,32,32,32
GET,GET /terms/?skip=10&limit=5,43,0,8,9.742157930234384,4.439375000000467,47.35887500001468,845.0,0.1436140754194811,0.0,8,9,10,11,14,16,47,47,47,47,47
GET,GET /terms/?skip=10&limit=50,39,0,10,10.075750102564038,2.7460000000019136,25.52275000000037,8455.564102564103,0.1302546265432503,0.0,10,11,12,13,14,21,26,26,26,26,26
GET,GET /terms/?skip=20&limit=10,52,0,9,9.42089261538576,4.307624999999149,29.607541999993714,1651.0,0.1736728353910004,0.0,9,10,10,11,13,19,29,30,30,30,30
GET,GET /terms/?skip=20&limit=100,47,0,11,12.031538127659848,4.626707999999979,42.46866699998009,15481.744680851063,0.1569735242957119,0.0,11,13,13,15,17,19,42,42,42,42,42
GET,GET /terms/?skip=20&limit=20,43,0,9,9.720884697675054,2.6194590000159224,36.093250000021726,3365.279069767442,0.1436140754194811,0.0,9,10,11,12,13,15,36,36,36,36,36
GET,GET /terms/?skip=20&limit=5,37,0,9,10.366969648643186,4.5289579999980845,28.265916999998808,760.0,0.1235749021051349,0.0,9,11,11,12,15,24,28,28,28,28,28
GET,GET /terms/?skip=20&limit=50,47,0,11,11.598970723405065,6.178291999997754,23.145749999997633,8342.68085106383,0.1569735242957119,0.0,11,12,13,14,16,20,23,23,23,23,23
GET,GET /terms/?skip=30&limit=10,44,0,9,9.16265436363622,4.313582999998289,29.780999999999835,1689.340909090909,0.14695393763853878,0.0,9,9,10,11,12,14,30,30,30,30,30
GET,GET /terms/?skip=30&limit=100,43,0,10,12.637848767443568,3.494625000001861,52.16570900000761,14979.186046511628,0.1436140754194811,0.0,10,11,12,14,21,27,52,52,52,52,52
GET,GET /terms/?skip=30&limit=20,44,0,9,9.796163840910554,5.049249999999006,23.647207999999864,3227.5227272727275,0.14695393763853878,0.0,9,10,11,11,12,19,24,24,24,24,24
GET,GET /terms/?skip=30&limit=5,55,0,9,10.505324963637912,2.2825830000101632,62.05862499999171,815.7636363636364,0.1836924220481735,0.0,9,10,11,12,14,24,28,62,62,62,62
GET,GET /terms/?skip=30&limit=50,51,0,11,10.983382313726265,3.840291000003049,22.028084000000003,8298.43137254902,0.17033297317194268,0.0,11,12,12,13,14,17,20,22,22,22,22
GET,GET /terms/?skip=40&limit=10,44,0,9,9.952102227272325,4.0169170000012855,36.37033400002565,1798.0,0.14695393763853878,0.0,10,10,11,13,15,16,36,36,36,36,36
GET,GET /terms/?skip=40&limit=100,45,0,10,12.287257422217126,2.6257499999999823,41.019207999966056,14774.68888888889,0.1502937998575965,0.0,10,13,15,16,18,27,41,41,41,41,41
GET,GET /terms/?skip=40&limit=20,55,0,9,10.167949254546794,2.716167000016867,51.32733299998904,3335.981818181818,0.1836924220481735,0.0,9,10,11,12,15,20,27,51,51,51,51
