Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /terms/[key],67,67,8,8.723361373133871,3.9861670000078675,18.987749999993753,27.0,0.37300196818680365,0.37300196818680365,8,9,10,11,13,15,16,19,19,19,19
GET,GET /,1939,0,4,4.290353875193323,1.0103749999998968,31.42720900000029,97.0,10.794788303197198,0.0,4,5,5,6,6,7,10,11,30,31,31
GET,GET /terms/?skip=0&limit=10,104,0,7,8.394683067308096,3.875999999991109,49.82312500000319,1595.0,0.5789881297227997,0.0,7,9,10,10,12,15,16,16,50,50,50
GET,GET /terms/?skip=0&limit=100,109,0,10,11.140606302752676,3.5944999999983906,49.759625000000085,17416.0,0.6068240974979343,0.0,10,11,12,13,15,19,46,47,50,50,50
GET,GET /terms/?skip=0&limit=20,122,0,8,8.26076262295158,3.4639159999976243,18.012041000005752,3323.0,0.6791976137132842,0.0,8,9,10,10,12,14,15,16,18,18,18
GET,GET /terms/?skip=0&limit=5,106,0,7,8.007546433961831,3.093958000000896,16.859499999995364,795.0,0.5901225168328535,0.0,8,9,10,10,12,12,14,17,17,17,17
GET,GET /terms/?skip=0&limit=50,110,0,9,9.193878736362846,2.9265000000009422,17.186499999979787,8515.0,0.6123912910529612,0.0,9,10,11,12,13,15,17,17,17,17,17
GET,GET /terms/?skip=10&limit=10,120,0,7,7.8738583916672615,2.8034579999953735,27.11324999999931,1729.0,0.6680632266032304,0.0,7,9,10,11,12,13,16,18,27,27,27
GET,GET /terms/?skip=10&limit=100,112,0,10,11.30225527678576,3.0174579999986406,48.036624999994615,17600.0,0.6235256781630151,0.0,10,12,13,14,16,19,40,45,48,48,48
GET,GET /terms/?skip=10&limit=20,110,0,8,9.332015163634978,3.067874999999276,30.31237500000117,3379.0,0.6123912910529612,0.0,8,10,11,12,15,16,21,29,30,30,30
GET,GET /terms/?skip=10&limit=5,119,0,7,7.642150210083374,2.6202920000031327,25.204083999994964,845.0,0.6624960330482035,0.0,7,8,9,10,12,14,16,16,25,25,25
GET,GET /terms/?skip=10&limit=50,108,0,8,8.988841398148258,2.5820420000002287,35.72775000000661,8717.0,0.6012569039429073,0.0,9,10,10,10,13,16,16,18,36,36,36
GET,GET /terms/?skip=20&limit=10,108,0,7,8.218207166667682,3.2180409999984505,36.89799999999366,1651.0,0.6012569039429073,0.0,8,9,10,11,12,14,17,21,37,37,37
