Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768641225,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768641226,20,,Aggregated,0.000000,0.000000,14,14,16,16,16,22,22,22,22,22,22,12,2,11,12.240142166666663,6.561499999999998,21.66508300000003,6684.0
1768641227,40,,Aggregated,0.000000,0.000000,9,11,14,14,16,16,22,22,22,22,22,26,7,9,9.803354038461524,4.566041999999992,21.66508300000003,4788.153846153846
1768641228,60,,Aggregated,12.000000,2.000000,10,11,12,14,14,16,22,22,22,22,22,44,14,9,9.807218681818158,3.0770829999999805,21.66508300000003,3299.4545454545455
1768641229,80,,Aggregated,12.500000,3.000000,9,11,11,12,14,16,16,22,22,22,22,74,26,9,9.396546702702691,2.629957999999988,21.66508300000003,3483.4324324324325
1768641230,100,,Aggregated,14.333333,4.666667,9,11,11,11,14,14,16,18,22,22,22,106,36,9,9.043454358490555,2.629957999999988,21.66508300000003,3084.8207547169814
1768641231,120,,Aggregated,18.250000,6.500000,9,11,11,11,13,14,16,18,22,22,22,141,49,9,8.861249099290788,2.629957999999988,21.66508300000003,2983.8652482269504
1768641232,140,,Aggregated,18.250000,6.500000,8,10,11,11,13,14,17,18,22,22,22,184,65,8,8.592550510869568,2.629957999999988,21.66508300000003,3135.396739130435
1768641233,160,,Aggregated,23.166667,8.000000,8,10,11,11,13,14,16,18,22,22,22,232,87,8,8.241485650862058,1.8317500000000209,21.66508300000003,2991.1637931034484
1768641234,180,,Aggregated,26.285714,9.285714,7,9,10,11,12,14,16,17,22,22,22,310,117,7,7.843039538709684,1.8317500000000209,21.66508300000003,3072.641935483871
1768641235,200,,Aggregated,28.500000,10.750000,7,9,10,11,12,14,16,17,22,22,22,362,137,7,7.57128465469615,1.8317500000000209,21.66508300000003,2811.709944751381
1768641236,200,,Aggregated,33.666667,12.666667,7,9,10,10,12,14,16,17,36,36,36,426,157,7,7.634674678403758,1.8317500000000209,35.99258399999883,2846.2347417840374
1768641237,200,,Aggregated,35.700000,13.400000,7,9,10,10,12,14,16,20,36,36,36,482,176,7,7.557608836099576,1.676791999999594,35.99258399999883,2854.5020746887967
1768641238,200,,Aggregated,41.000000,15.400000,7,8,9,10,11,14,16,18,36,36,36,538,202,7,7.216494576208167,1.6126670000016219,35.99258399999883,2878.128252788104
1768641239,200,,Aggregated,45.300000,16.900000,6,8,9,10,11,14,16,18,36,36,36,596,223,6,7.160149540268445,1.6126670000016219,35.99258399999883,2786.001677852349
1768641240,200,,Aggregated,49.100000,18.700000,6,8,9,10,11,14,16,18,36,36,36,657,243,6,7.1409926453576675,1.6126670000016219,35.99258399999883,2787.8812785388127
1768641241,200,,Aggregated,51.600000,19.500000,6,8,9,10,11,14,16,17,36,36,36,715,270,6,7.019672089510473,1.6126670000016219,35.99258399999883,2820.018181818182
