Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /terms/[key],1,1,8.155791999996609,8.155791999996609,8.155791999996609,8.155791999996609,27.0,0.034324468218394445,0.034324468218394445,8,8,8,8,8,8,8,8,8,8,8
GET,GET /,74,0,4,4.614238135135148,2.2726669999997284,10.400458999999973,97.0,2.540010648161189,0.0,4,5,5,6,6,7,10,10,10,10,10
GET,GET /terms/?skip=0&limit=10,7,0,8,8.71169042857061,6.658333999997268,11.502832999999768,1595.0,0.2402712775287611,0.0,8,10,11,11,12,12,12,12,12,12,12
GET,GET /terms/?skip=0&limit=100,6,0,12,11.21853450000036,8.832415999999732,13.193375000000174,17416.0,0.20594680931036666,0.0,12,12,13,13,13,13,13,13,13,13,13
GET,GET /terms/?skip=0&limit=20,8,0,8,8.031598874999712,5.792792000000269,9.652791000000605,3323.0,0.27459574574715556,0.0,8,9,9,9,10,10,10,10,10,10,10
GET,GET /terms/?skip=0&limit=5,1,0,7.080375000000139,7.080375000000139,7.080375000000139,7.080375000000139,795.0,0.034324468218394445,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,GET /terms/?skip=0&limit=50,1,0,8.109792000000837,8.109792000000837,8.109792000000837,8.109792000000837,8515.0,0.034324468218394445,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,GET /terms/?skip=10&limit=10,3,0,7,6.949805333334187,6.6281660000004905,7.457500000001005,1729.0,0.10297340465518333,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,GET /terms/?skip=10&limit=100,1,0,10.134250000000012,10.134250000000012,10.134250000000012,10.134250000000012,17600.0,0.034324468218394445,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=10&limit=20,2,0,9,9.918333499999266,8.760041999998691,11.07662499999984,3379.0,0.06864893643678889,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=10&limit=5,5,0,6,6.657399999999569,5.817957999999734,8.327082999999291,845.0,0.17162234109197222,0.0,6,7,7,8,8,8,8,8,8,8,8
