Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /terms/[key],2,2,8,9.66143749999926,7.942292000000961,11.380582999997557,27.0,0.03401454484328054,0.03401454484328054,11,11,11,11,11,11,11,11,11,11,11
GET,GET /,31,0,6,5.628572612903361,2.4394169999979454,12.353375,97.0,0.5272254450708485,0.0,6,6,6,6,7,9,12,12,12,12,12
GET,GET /terms/?skip=0&limit=100,4,0,10,9.610083499999256,7.866374999998982,10.864999999999014,2271.25,0.06802908968656109,0.0,10,10,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=0&limit=50,3,0,9.020874999997375,9.8254029999989,9.020874999997375,11.25266699999905,1532.3333333333333,0.05102181726492082,0.0,9,9,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=10&limit=100,2,0,9,9.394791999998375,8.68741699999731,10.10216699999944,1359.0,0.03401454484328054,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=10&limit=5,1,0,10.603500000001986,10.603500000001986,10.603500000001986,10.603500000001986,845.0,0.01700727242164027,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=10&limit=50,2,0,10,9.922416500000253,9.560167000000064,10.284666000000442,261.0,0.03401454484328054,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=20&limit=10,3,0,9.895707999998393,9.727791666666263,9.531875000000412,9.895707999998393,108.33333333333333,0.05102181726492082,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=20&limit=100,2,0,9.135167000003719,9.289979500001877,9.135167000003719,9.444792000000035,2.0,0.03401454484328054,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=20&limit=20,2,0,6.337415999999596,7.205874999999695,6.337415999999596,8.074333999999794,2.0,0.03401454484328054,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,GET /terms/?skip=20&limit=50,1,0,9.398416000003351,9.398416000003351,9.398416000003351,9.398416000003351,2.0,0.01700727242164027,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=30&limit=100,4,0,9,9.149552000000227,7.818540999998902,10.154542000002209,2.0,0.06802908968656109,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=30&limit=20,2,0,9.111374999996258,9.383187499998336,9.111374999996258,9.655000000000413,2.0,0.03401454484328054,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=30&limit=5,4,0,8,8.475781499999169,6.980667000000551,9.88575000000047,2.0,0.06802908968656109,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=30&limit=50,3,0,7.066874999999584,8.0131803333335,7.066874999999584,9.529500000006408,2.0,0.05102181726492082,0.0,7,7,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=40&limit=100,2,0,8.872291999999504,8.749833500001358,8.627375000003212,8.872291999999504,2.0,0.03401454484328054,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=40&limit=20,3,0,10,10.103180333333425,8.415833000000816,11.425749999999901,2.0,0.05102181726492082,0.0,10,10,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=40&limit=5,1,0,9.351542000004542,9.351542000004542,9.351542000004542,9.351542000004542,2.0,0.01700727242164027,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=40&limit=50,1,0,9.414875000004486,9.414875000004486,9.414875000004486,9.414875000004486,2.0,0.01700727242164027,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=50&limit=100,1,0,8.318416999998135,8.318416999998135,8.318416999998135,8.318416999998135,2.0,0.01700727242164027,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,GET /terms/?skip=50&limit=20,2,0,9,10.224291499998373,8.876624999999194,11.57195799999755,2.0,0.03401454484328054,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,GET /terms/?skip=50&limit=5,2,0,9.355708000001073,9.797374500003286,9.355708000001073,10.2390410000055,2.0,0.03401454484328054,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=50&limit=50,2,0,9,9.311521000002543,8.96604200000084,9.657000000004246,2.0,0.03401454484328054,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/[key],44,44,9,8.985378772727223,5.79862499999706,11.532457999999579,27.0,0.748319986552172,0.748319986552172,9,10,10,10,11,11,12,12,12,12,12
POST,POST /terms/,30,6,14,14.222468066666375,9.204083000000196,20.025708000000364,137.1,0.5102181726492082,0.10204363452984164,14,15,16,16,17,18,20,20,20,20,20
PUT,PUT /terms/[key],7,7,10,11.099523714286923,9.450749999999175,13.514415999999585,27.0,0.1190509069514819,0.1190509069514819,10,12,12,12,14,14,14,14,14,14,14
,Aggregated,161,59,9,9.497711962732993,2.4394169999979454,20.025708000000364,165.88198757763976,2.7381708598840837,1.003429072876776,9,10,11,11,14,16,16,18,20,20,20
